ID	Keyword	en	fr	zh	ja	ko	zh_TW	ru	pl	es	pt	de	tr	it	th	vn
15	MENU_START	Start	Nouvelle partie	开始	開始	시작	開始	Начать	Start	Iniciar	Iniciar	Start	Başla	Nuova partita	เริ่มเล่น	bắt đầu
16	MENU_CONTINUE	Resume	Suivant	继续	次へ	다음	繼續	Далее	Dalej	Siguiente	Próximo	Weiter	Sonraki	Avanti	ดำเนินการต่อ	Tiếp tục
17	MENU_PROGRESS	Progress	Succès	进度	進行状況	진행 상황	目前進度	Прогресс	Postępy	Progreso	Progresso	Fortschritt	İlerleme	Progressi	ความคืบหน้า	Tiến bộ
18	MENU_SETTING	Options	Options	设置	オプション	옵션	選項	Настройки	Ustawienia	Opciones	Opções	Optionen	Ayarlar	Opzioni	ตั้งค่า	Tùy chọn
19	MENU_GRAPHIC	Graphics Options	Options graphiques	图形设置	グラフィック設定	그래픽 설정	圖形設置	Настройки графики	Ustawienia Grafiki	Ajustes de vídeo	Opções Gráficas	Grafikeinstellungen	Grafik Ayarları	Opzioni grafiche	ตัวเลือกกราฟิก	Tùy chọn đồ họa
20	MENU_VOLUME	Sound Options	Options sonores	声音设置	サウンド設定	음향 설정	聲音選項	Настройки звука	Ustawienia dźwięku	Opciones de sonido	Opções de som	Soundeinstellungen	Ses Ayarları	Opzioni audio	ตั้งค่าเสียง	Tùy chọn âm thanh
21	MENU_JOYSTICK	Joystick	Joystick	摇杆操作	ジョイスティック	조이스틱	搖桿操作	Джойстик	Joystick	Palanca de mando	Joystick	Joystick	Joystick	Joystick	จอยสติก	Tay chơi
22	MENU_GAMEPAD	Gamepad	Manette	游戏手柄	ゲームパッド	게임 패드	游戲手柄	Геймпад	Kontroler	Mando	Comando	Gamepad	Oyun Kumandası	Controller	เกมแพด	Bộ điều khiển trò chơi
23	MENU_LANGUAGE	Language	Langue	语言	言語	언어	語言	Язык	Jezyk	Idioma	Linguagem	Sprache	Dil	Lingua	ภาษา	Ngôn ngữ
24	MENU_SCREEN_SHAKE	Screen Shake	Secousse d'écran	屏幕抖动	画面揺れ	화면 흔들림	屏幕抖動	Тряска экрана	Trzęsienie ekranu	Sacudida de pantalla	Agitação de tela	Bildschirmrütteln	Ekran Sarsıntısı	Scuotimento dello schermo	การสั่นหน้าจอ	Rung màn hình
25	MENU_TOTAL_VOLUME	Volume	Volume	总音量	ボリューム	볼륨	總音量	Громкость	Głośność	Volumen	Volume	Lautstärke	Ses	Volume	ระดับเสียง	Âm lượng
26	MENU_EFFECT_VOLUME	SFX Volume	Volume SFX	音效音量	SFX音量	SFX 볼륨	音效音量	Громкость SFX	Głośność SFX	Volumen SFX	Volume SFX	SFX Lautstärke	SFX Ses Seviyesi	Volume SFX	ระดับเสียง SFX	Âm lượng SFX
27	MENU_MUSIC_VOLUME	Music volume	Volume Musique	音乐音量	音楽の音量	음악 볼륨	音樂音量	Громкость музыки	Głośność muzyki	Volumen Música	Volume Música	Musik Lautstärke	Müzik Ses Seviyesi	Volume Musica	ระดับเสียงเพลง	Âm lượng Nhạc
28	MENU_FIXED_JOYSTICK	Fixed joystick	Joystick fixe	固定摇杆	固定ジョイスティック	고정 레버	固定搖桿	Закрепленный джойстик	Joystick fixo	Joystick fijo	Joystick fixo	Fester Joystick	Sabit joystick	Joystick fisso	จอยสติ๊กแบบคงตำแหน่ง	Nút điều khiển cố định
29	MENU_DEAD_ZONE	Dead Zone	Zone morte	死区	デッドゾーン	데드 존	死區	Мертвая зона	Strefa martwa	Zona muerta	Zona morta	Tote Zone	Ölü Bölge	Zona morta	โซนตาย	Vùng chết
30	MENU_START_GAME	Start Game	Démarrer le jeu	开始游戏	ゲームを始める	게임 시작	開始遊戲	Начать игру	Rozpocznij grę	Iniciar juego	Iniciar jogo	Spiel starten	Oyunu Başlat	Inizia gioco	เริ่มเกม	Bắt đầu trò chơi
31	MENU_NEW_GAME	New Run	Nouvelle Partie	新游戏	新しく始める	새로운 달리기	新的一場	Новый забег	Nowa gra	Nueva partida	Nova partida	Neuer Durchlauf	Yeni Oyun	Nuova partita	เริ่มเกมใหม่	Chạy mới
32	MENU_BACK_HALL	Back to Menu	Retour au menu	返回主菜单	メニューに戻る	메뉴로 돌아가기	返回主菜單	Вернуться в меню	Powrót do menu	Volver al menú	Voltar ao menu	Zurück zum Menü	Menüye Dön	Torna al menu	กลับสู่เมนู	Quay lại menu
33	MENU_YES	Yes	Oui	是	はい	예	好	Да	Tak	Sí	Sim	Ja	Evet	Sì	ใช่	Đúng
34	MENU_NO	No	Non	否	いいえ	아니요	不	Нет	Nie	No	Não	Nein	Hayır	No	ไม่	KHÔNG
35	MENU_LEVEL	Level	Niveau	关卡	レベル	레벨	關卡	Уровень	Poziom	Nivel	Nível	Level	Seviye	Livello	ระดับ	Cấp độ
36	MENU_SELECT	Choose	Choisir	选择	選択	선택	選擇	Выбрать	Wybierz	Elegir	Escolher	Wählen	Seç	Scegli	เลือก	Chọn
37	INFO_HIGHEST_SCORE	High score	Meilleur score	最高评分	ハイスコア	최고 점수	最高分	Рекорд	Rekord	Puntuación máxima	Pontuação Máx.	Höchstpunktzahl	Yüksek Skor	Record di punti	คะแนนสูงสุด	Điểm cao nhất
38	INFO_START_NEW_GAME	Start a New Game?	Démarrer une nouvelle partie ?	是否开始新游戏？	新しいゲームを始めますか？	새로운 게임을 시작하시겠습니까?	是否開始新遊戲？	Начать новую игру?	Rozpocząć nową grę?	¿Comenzar un juego nuevo?	Iniciar um Novo Jogo?	Neues Spiel beginnen?	Yeni bir oyun başlat?	Inizia un nuovo gioco?	เริ่มเกมใหม่?	Bắt đầu trò chơi mới?
39	INFO_GUIDE_TIPS	Hit monsters onto the spikes to kill them	Frappez les monstres sur les pointes pour les tuer	将怪物击打至地刺即可击杀怪物	モンスターを棘に当てて倒す	몬스터를 못에 맞추어 죽이세요	將怪物擊打至地刺即可擊殺怪物	Ударь монстров по шипам, чтобы их убить	Uderz potwory w kolce, aby je zabić	Golpea a los monstruos contra los pinchos para matarlos	Acerte os monstros nos espinhos para matá-los	Treffe Monster auf die Stacheln, um sie zu töten	Canavarları dikenlere vurarak öldür	Colpisci i mostri contro i pungoli per ucciderli	ตีมอนเสตอร์ลงบนทิ่มเพื่อฆ่ามัน	Đánh quái vật vào đinh để giết chúng
40	INFO_GUIDE_TIPS_GET	Got it, start the game	C'est compris, démarrer le jeu	了解了，开始游戏	了解、ゲームを始める	알겠습니다, 게임을 시작합니다	明白，開始遊戲	Понял, начать игру	Zrozumiane, rozpocznij grę	Entendido, iniciar el juego	Entendi, iniciar o jogo	Verstanden, Spiel starten	Anladım, oyunu başlat	Capito, inizia il gioco	เข้าใจแล้ว เริ่มเกม	Hiểu rồi, bắt đầu trò chơi
41	INFO_GUIDE_SKIP	Skip Tutorial...	Passer le tutoriel...	跳过教程……	チュートリアルをスキップ...	튜토리얼 건너뛰기...	跳過教程......	Пропустить обучение...	Pomiń samouczek...	Saltar tutorial...	Pular Tutorial...	Tutorial überspringen...	Öğreticiyi Atla...	Salta il tutorial...	ข้ามบทแนะนำ...	Bỏ qua hướng dẫn...
42	INFO_UNOPEN	Not available yet, stay tuned!	Pas encore disponible, restez à l'écoute !	暂未开放，敬请期待	まだ利用できません、お楽しみに！	아직 사용할 수 없습니다, 기다려주세요!	暫未開放，敬請期待	Пока недоступно, оставайтесь на связи!	Jeszcze niedostępne, bądźcie czujni!	¡Aún no disponible, mantente atento!	Ainda não disponível, fique ligado!	Noch nicht verfügbar, bleiben Sie dran!	Henüz mevcut değil, takipte kalın!	Non ancora disponibile, rimani sintonizzato!	ยังไม่พร้อมให้บริการ โปรดติดตาม!	Chưa có sẵn, hãy đợi chúng tôi!
43	GAME_RATING_DESC	Your feedback and support will keep us motivated!	Vos éloges sont la force motrice pour nous de continuer à travailler dur.	你的好评是我们继续努力的动力。	皆様のフィードバックと応援でこれからも頑張ります。	당신의 호평은 저희가 더 열심히 발전할 수 있는 큰 원동력이 됩니다.	你的好評是我們繼續努力的動力。	Ваша похвала поможет нам собраться с силами, чтобы и дальше усердно работать.	Twoja pochwała jest dla nas siłą napędową do dalszej ciężkiej pracy.	Su alabanza es la fuerza impulsora para que sigamos trabajando duro.	Seu elogio é a força motriz para continuarmos trabalhando duro.	Ihr Lob ist die treibende Kraft für uns, weiter hart zu arbeiten.	Övgünüz, sıkı çalışmaya devam etmemiz için itici güçtür.	La tua lode è la forza trainante per noi per continuare a lavorare sodo.	คำติชมและการสนับสนุนของคุณจะทำให้เรามีแรงบันดาลใจ!	Ý kiến phản hồi tích cực và sự hỗ trợ của bạn sẽ tiếp thêm động lực cho chúng tôi để tiếp tục cải thiện.
44	GAME_RATING_BTN_TEXT	Rate Now	faire l'éloge	去评分	評価する	호평 남기기	給好評	похвалить	chwalić	alabar	dar louvor	loben	övmek	lodare	ให้คะแนน	Đánh giá Ngay
45	MENU_LOGIN	Login	Connexion	登录	ログイン	로그인	登錄	Логин	Zaloguj sie	Iniciar sesión	Fazer login	Einloggen	Giriş yap	Accedi	เข้าสู่ระบบ	Đăng nhập
46	INFO_AD_FREE	Go Ad-Free Now	Passer à l'option sans publicité maintenant	立刻免广告游戏	今すぐ広告なしに	지금 광고 없음으로 이동	立即去廣告!	Убрать рекламу сейчас	Usuń reklamy teraz	¡Sin anuncios ahora!	Remover anúncios agora	Jetzt werbefrei gehen	Şimdi Reklamsız Ol	Vai senza pubblicità ora	ลบโฆษณาไปเลยตอนนี้	Không quảng cáo ngay bây giờ
47	BUY_SKIP_AD_TIP	Confirm spending {0} to remove in-game ads?	Confirmer les dépenses {0} pour supprimer les publicités en jeu ?	确认花费{0}去除游戏内广告？	インゲーム広告を削除するために{0}を支出しますか？	인게임 광고를 제거하기 위해 {0}을(를) 사용하시겠습니까?	確認花費{0}去除遊戲內廣告？	Подтвердите расходы {0} на удаление рекламы в игре?	Potwierdzić wydatek {0} na usunięcie reklam w grze?	¿Confirmar el gasto de {0} para eliminar los anuncios del juego?	Confirmar gastos de {0} para remover anúncios in-game?	Bestätigen Sie die Ausgaben von {0} um die In-Game-Werbung zu entfernen?	Oyun içi reklamları kaldırmak için {0} harcamayı onaylıyor musunuz?	Confermi la spesa di {0} per rimuovere gli annunci in-game?	ยืนยันการใช้ {0} เพื่อลบโฆษณาในเกม?	Xác nhận chi {0} để gỡ bỏ quảng cáo trong game?
48	SKIP_AD_TIP	Skipped ad	Publicité ignorée	已跳过广告	広告をスキップ	광고 스킵됨	跳過廣告	Пропущенная реклама	Pominięta reklama	Anuncio omitido	Anúncio ignorado	Werbung übersprungen	Reklam atlandı	Pubblicità saltata	ข้ามโฆษณาแล้ว	Bỏ qua quảng cáo
49	PROP_INVINCIBLE	Invincibility	Invincibilité	无敌	無敵	무적	無敵	Неуязвимость	Niezwyciężony	Invencibilidad	Invencibilidade	Unverwundbarkeit	Dokunulmazlık	Invincibilità	ป้องกันการทำลาย	Bất tử
50	PROP_ADDITIONAL_TRAP	Initiative	Initiative	先手	イニシアチブ	선제 공격	先手	Инициатива	Inicjatywa	Iniciativa	Iniciativa	Initiative	İlk Hamle	Iniziativa	มีศักยภาพ	Sáng tạo
51	PROP_RELIC	Relic	Relique	圣物	遺物	유물	圣物	Реликвия	Relikt	Reliquia	Relíquia	Relikt	Kalıntı	Reliquia	สิ่งของสักขีพยาน	Di vật
52	DESC_BUFF_INVINCIBLE	Starting invincibility time increased to 3 seconds	Le temps d'invincibilité au démarrage augmenté à 3 secondes	开场无敌时间增加至3秒	スタート時の無敵時間を3秒に増加	시작 무적 시간이 3초로 증가	開場無敵時間增加至3秒	Время неуязвимости на старте увеличено до 3 секунд	Czas niezwyciężoności na początku zwiększony do 3 sekund	El tiempo de invencibilidad inicial aumentó a 3 segundos	Tempo de invencibilidade inicial aumentado para 3 segundos	Startzeit für Unverwundbarkeit auf 3 Sekunden erhöht	Başlangıç dokunulmazlık süresi 3 saniyeye uzatıldı	Tempo di invincibilità iniziale aumentato a 3 secondi	เริ่มต้นเวลาการป้องกันการทำลายเพิ่มขึ้นเป็น 3 วินาที	Thời gian bất tử ban đầu tăng lên 3 giây
53	DESC_BUFF_ADDITIONAL_TRAP	Start with an additional trap	Commencez avec un piège supplémentaire	开局额外获取1种陷阱	開始時に追加のトラップを使用	추가 함정으로 시작	開局額外獲得1種陷阱	Начните с дополнительной ловушки	Rozpocznij z dodatkową pułapką	Comienza con una trampa adicional	Comece com uma armadilha adicional	Beginne mit einer zusätzlichen Falle	Başlangıçta ek bir tuzakla başlayın	Inizia con una trappola aggiuntiva	เริ่มต้นด้วยกับเครื่องกวนเพิ่มเติม	Bắt đầu với một chiêu mộ phụ bổ sung
54	DESC_BUFF_INCREASE_HP_MAX	HP Max +2, HP +2	PV Max +2, PV +2	生命值上限+2，生命值+2	HP 最大 +2、HP +2	HP 최대 +2, HP +2	生命值上限+2，生命值+2	HP Макс +2, HP +2	HP Maks +2, HP +2	HP Máx +2, HP +2	HP Máx +2, HP +2	HP Max +2, HP +2	HP Maks +2, HP +2	HP Max +2, HP +2	HP สูงสุด +2, HP +2	HP Tối Đa +2, HP +2
55	INFO_DEAD	Deceased	Défunt	已死亡	死亡	사망함	已死亡	Умерший	Zmarły	Fallecido	Falecido	Verstorben	Ölü	Deceduto	ตายแล้ว	Chết
56	INFO_REVIVAL_AD	Watch an ad to revive for free	Regarder une publicité pour revivre gratuitement	观看一次广告即可免费复活	無料で復活するために広告を見る	무료로 부활하려면 광고를 시청하십시오	觀看一次廣告，即可免費復活	Посмотрите рекламу, чтобы воскреснуть бесплатно	Obejrzyj reklamę, aby ożyć za darmo	Ver un anuncio para revivir gratis	Assista um anúncio para reviver gratuitamente	Schauen Sie sich eine Anzeige an, um kostenlos wiederzubeleben	Bedava canlanmak için reklam izleyin	Guarda un annuncio per resuscitare gratuitamente	ดูโฆษณาเพื่อฟื้นคืนฟรี	Xem quảng cáo để hồi sinh miễn phí
57	MENU_REVIVAL	Revive	Revivre	复活	復活	부활	復活	Воскреснуть	Ożywienie	Revivir	Reviver	Wiederbeleben	Canlanmak	Resuscitare	ฟื้นคืน	Hồi sinh
58	MENU_ABANDON	Give up	Abandonner	放弃	ギブアップ	포기	放棄	Сдаться	Zrezygnuj	Rendirse	Desistir	Aufgeben	Vazgeç	Arrendersi	ยอมแพ้	Từ bỏ
59	MENU_REFRESH	Refresh	Rafraîchir	刷新	更新	새로 고침	刷新	Обновить	Odśwież	Actualizar	Atualizar	Aktualisieren	Yenile	Aggiorna	รีเฟรช	Làm mới
60	MENU_GET_ALL	Collect all	Tout collecter	全拿	すべて集める	모두 수집	全部領取	Собрать все	Zbierz wszystko	Recolectar todo	Coletar tudo	Alles sammeln	Tümünü topla	Raccogli tutto	รับทั้งหมด	Thu thập tất cả
61	MENU_CANCEL	Cancel	Annuler	取消	キャンセル	취소	取消	Отмена	Anuluj	Cancelar	Cancelar	Abbrechen	İptal	Annulla	ยกเลิก	Hủy bỏ
62	MENU_CONFIRM	Confirm	Confirmer	确定	確認	확인	確定	Подтвердить	Potwierdź	Confirmar	Confirmar	Bestätigen	Onayla	Conferma	ยืนยัน	Xác nhận
63	INFO_NEW_RECORD	New Record	Nouveau Record	新纪录	新記録	신기록	新紀錄	Новый Рекорд	Nowy Rekord	Nuevo Récord	Novo Recorde	Neuer Rekord	Yeni Kayıt	Nuovo Record	สถิติใหม่	Kỷ lục mới
64	INFO_CURRENT_SCORE	Best Performance	Meilleure Performance	当前成绩	最高のパフォーマンス	최고 성적	當前成績	Лучшее Выступление	Najlepsze Wyniki	Mejor Rendimiento	Melhor Desempenho	Beste Leistung	En İyi Performans	Migliore Prestazione	ประสิทธิภาพที่ดีที่สุด	Hiệu suất tốt nhất
65	INFO_BEST_SCORE	Highest Wave Reached	Plus Haute Vague Atteinte	历史最高波次	最高の波に到達	최고 파도 도달	歷史最高波次	Высшая Волна Достигнута	Najwyższa Fala Osiągnięta	Mayor Ola Alcanzada	Maior Onda Alcançada	Höchste Welle erreicht	En Yüksek Dalga Ulaşıldı	Onda Più Alta Raggiunta	คะแนนความสูงสุด	Đạt được Sóng Cao Nhất
66	INFO_CONGRATULATION_UNLOCK	Congratulations, Unlocked!	Félicitations, Débloqué !	恭喜解锁	おめでとう、アンロックしました！	축하합니다, 잠금 해제되었습니다!	恭喜解鎖！	Поздравляем, Разблокировано!	Gratulacje, Odblokowane!	¡Felicidades, Desbloqueado!	Parabéns, Desbloqueado!	Glückwunsch, Freigeschaltet!	Tebrikler, Açıldı!	Congratulazioni, Sbloccato!	ยินดีด้วย, ปลดล็อคแล้ว!	Chúc mừng, Mở Khóa!
67	MENU_VIEW	View	Voir	查看	表示	보기	查看	Просмотр	Zobacz	Ver	Ver	Ansehen	Görüntüle	Visualizza	ดู	Xem
68	MENU_RETRY	Retry	Réessayer	再来一次	再試行	다시 시도	再試一次！	Повтор	Powtórz	Reintentar	Tentar Novamente	Wiederholen	Tekrar Dene	Riprova	ลองอีกครั้ง	Thử Lại
69	INFO_RANK_SURVIVAL_TIME	Rankings: Survival Time	Classements : Temps de Survie	排行：生存时间	ランキング：生存時間	랭킹: 생존 시간	排行：生存時間	Рейтинг: Время Выживания	Ranking: Czas Przetrwania	Clasificación: Tiempo de Supervivencia	Rankings: Tempo de Sobrevivência	Rangliste: Überlebenszeit	Sıralamalar: Hayatta Kalma Süresi	Classifiche: Tempo di Sopravvivenza	อันดับ: เวลาการอยู่รอด	Bảng Xếp Hạng: Thời Gian Sống Sót
70	INFO_RANK_HIGHEST_LEVEL	Rankings: Highest Wave	Classements : Plus Haute Vague	排行：最高波次	ランキング：最高波	랭킹: 최고 파도	排行：最高波次	Рейтинг: Высшая Волна	Ranking: Najwyższa Fala	Clasificación: Mayor Ola	Rankings: Maior Onda	Rangliste: Höchste Welle	Sıralamalar: En Yüksek Dalga	Classifiche: Onda Più Alta	อันดับ: คะแนนสูงสุด	Bảng Xếp Hạng: Sóng Cao Nhất
71	INFO_SURVIVAL_TIME	Survival Time	Temps de Survie	生存时间	生存時間	생존 시간	生存時間	Время Выживания	Czas Przetrwania	Tiempo de Supervivencia	Tempo de Sobrevivência	Überlebenszeit	Hayatta Kalma Süresi	Tempo di Sopravvivenza	เวลาการอยู่รอด	Thời Gian Sống Sót
72	INFO_HIGHEST_LEVEL	Highest Wave Reached	Plus Haute Vague Atteinte	最高波次	最高波に到達	최고 파도 도달	最高波次	Высшая Волна Достигнута	Najwyższa Fala Osiągnięta	Mayor Ola Alcanzada	Maior Onda Alcançada	Höchste Welle erreicht	En Yüksek Dalga Ulaşıldı	Onda Più Alta Raggiunta	คะแนนสูงสุด	Đạt được Sóng Cao Nhất
73	NOT_SIGNIN_TIP	Cloud save failed. Click for assistance.	Échec sauvegarde cloud, cliquez pour aide.	云存档失败，点击获取帮助	クラウド保存失敗、クリックしてサポート	클라우드 저장 실패. 클릭하여 도움을 받으세요.	雲端存檔失敗。點擊獲得幫助。	Ошибка обл. сохранения, клик для помощи.	Zapis w chmurze nie powiódł się. Kliknij, aby uzyskać pomoc.	Error guardar en nube, clic para ayuda.	Falha salvar na nuvem, clique para ajuda.	Cloudopslag mislukt, klik voor hulp.	Bulut kaydı başarısız oldu. Yardım almak için tıklayın.	Salvataggio cloud fallito, clicca per aiuto.	บันทึกในคลาวด์ล้มเหลว คลิกเพื่อรับความช่วยเหลือ	Lỗi lưu trữ đám mây, nhấp để nhận trợ giúp.
74	CLOUD_STORAGE	Cloud Storage	Stockage en nuage	云存档	クラウドストレージ	클라우드 저장소	雲端儲存	Облачное хранилище	Pamięć chmurowa	Almacenamiento en la nube	Armazenamento em nuvem	Cloud-Speicherung	Bulut depolama	Archiviazione cloud	การเก็บเกี่ยวในคลาวด์	Lưu trữ đám mây
75	CLOUD_STORAGE_STATUS_SUCCESS	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]	[color=#00eb00]√[/color]
76	CLOUD_STORAGE_STATUS_FAILURE	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]	[color=#bb0000]×[/color]
